teacher_name,env,n_iters,mean,std,n_eval_episodes
cs285/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters500000.zip,BowlingNoFrameskip-v4,500000,30.0,0.0,10
cs285/teachers/envMsPacmanNoFrameskip-v4_20211206-021910_n_iters10000000.zip,MsPacmanNoFrameskip-v4,10000000,1705.0,118.84864324004712,10
cs285/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters200000.zip,UpNDownNoFrameskip-v4,200000,20.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-205357_n_iters200000.zip,FreewayNoFrameskip-v0,200000,0.0,0.0,10
cs285/teachers/envMsPacmanNoFrameskip-v4_20211206-021910_n_iters5000000.zip,MsPacmanNoFrameskip-v4,5000000,1445.0,230.61873297718031,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-212931_n_iters12000.zip,FreewayNoFrameskip-v0,12000,0.0,0.0,10
cs285/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters20000000.zip,QbertNoFrameskip-v4,20000000,14235.0,5032.981223887091,10
cs285/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters20000000.zip,BeamRiderNoFrameskip-v4,20000000,9572.2,3809.3855095014997,10
cs285/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters500000.zip,PongNoFrameskip-v4,500000,-21.0,0.0,10
cs285/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters100000.zip,BowlingNoFrameskip-v4,100000,0.0,0.0,10
cs285/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters1000000.zip,UpNDownNoFrameskip-v4,1000000,550.0,0.0,10
cs285/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters1000000.zip,BowlingNoFrameskip-v4,1000000,0.0,0.0,10
cs285/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters2000000.zip,BowlingNoFrameskip-v4,2000000,58.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211205_185209_n_iters100000.zip,FreewayNoFrameskip-v0,100000,21.0,1.4142135623730951,10
cs285/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters40000000.zip,PongNoFrameskip-v4,40000000,21.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211205_185209_n_iters200000.zip,FreewayNoFrameskip-v0,200000,21.5,1.118033988749895,10
cs285/teachers/envMsPacmanNoFrameskip-v4_20211206-021910_n_iters40000000.zip,MsPacmanNoFrameskip-v4,40000000,2790.0,484.0867690817422,10
cs285/teachers/envFreewayNoFrameskip-v0_20211205-185209_n_iters2000000.zip,FreewayNoFrameskip-v0,2000000,20.6,0.66332495807108,10
