teacher_name,env,n_iters,mean,std,n_eval_episodes,use
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters100000.zip,BeamRiderNoFrameskip-v4,100000,560,103.2434017,10,
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters1000000.zip,BeamRiderNoFrameskip-v4,1000000,790.4,271.9011585,10,TRUE
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters10000000.zip,BeamRiderNoFrameskip-v4,10000000,3696,2084.608165,10,
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters200000.zip,BeamRiderNoFrameskip-v4,200000,690,75.37108199,10,
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters2000000.zip,BeamRiderNoFrameskip-v4,2000000,864.8,281.7079339,10,
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters20000000.zip,BeamRiderNoFrameskip-v4,20000000,9572.2,3809.38551,10,
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters40000000.zip,BeamRiderNoFrameskip-v4,40000000,12881.8,3185.102629,10,TRUE
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters500000.zip,BeamRiderNoFrameskip-v4,500000,679.6,210.2832376,10,
src/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters5000000.zip,BeamRiderNoFrameskip-v4,5000000,2405.4,1502.077508,10,TRUE
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters100000.zip,BowlingNoFrameskip-v4,100000,0,0,10,
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters1000000.zip,BowlingNoFrameskip-v4,1000000,0,0,10,
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters10000000.zip,BowlingNoFrameskip-v4,10000000,56,0,10,
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters200000.zip,BowlingNoFrameskip-v4,200000,0,0,10,
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters2000000.zip,BowlingNoFrameskip-v4,2000000,58,0,10,
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters20000000.zip,BowlingNoFrameskip-v4,20000000,52,0,10,
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters40000000.zip,BowlingNoFrameskip-v4,40000000,52,0,10,TRUE
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters500000.zip,BowlingNoFrameskip-v4,500000,30,0,10,TRUE
src/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters5000000.zip,BowlingNoFrameskip-v4,5000000,56,0,10,TRUE
src/teachers/envFreewayNoFrameskip-v0_20211205_185209_n_iters100000.zip,FreewayNoFrameskip-v0,100000,21,1.414213562,10,
src/teachers/envFreewayNoFrameskip-v0_20211205_185209_n_iters1000000.zip,FreewayNoFrameskip-v0,1000000,21.4,1.113552873,10,
src/teachers/envFreewayNoFrameskip-v0_20211205_185209_n_iters200000.zip,FreewayNoFrameskip-v0,200000,21.5,1.118033989,10,
src/teachers/envFreewayNoFrameskip-v0_20211205_185209_n_iters500000.zip,FreewayNoFrameskip-v0,500000,21.3,1.615549442,10,
src/teachers/envFreewayNoFrameskip-v0_20211205-042645_n_iters10000000.zip,FreewayNoFrameskip-v0,10000000,32,0.894427191,10,
src/teachers/envFreewayNoFrameskip-v0_20211205-185209_n_iters2000000.zip,FreewayNoFrameskip-v0,2000000,20.6,0.663324958,10,
src/teachers/envFreewayNoFrameskip-v0_20211206-204642_n_iters100000.zip,FreewayNoFrameskip-v0,100000,0,0,10,
src/teachers/envFreewayNoFrameskip-v0_20211206-205357_n_iters100000.zip,FreewayNoFrameskip-v0,100000,0,0,10,
src/teachers/envFreewayNoFrameskip-v0_20211206-205357_n_iters200000.zip,FreewayNoFrameskip-v0,200000,0,0,10,
src/teachers/envFreewayNoFrameskip-v0_20211206-210725_n_iters10000.zip,FreewayNoFrameskip-v0,10000,0,0,10,
src/teachers/envFreewayNoFrameskip-v0_20211206-210725_n_iters20000.zip,FreewayNoFrameskip-v0,20000,21.5,1.62788206,10,
